,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,A,TOR,W,98,83,36,81,0.444,5,27,0.185,21,26,0.808,7,51,20,14,8,21,17,94.4,80.0,103.8,0.321,0.333,0.53,48.6,55.6,13.5,12.7,0.475,18.5,16.7,0.259,0.345,15.1,69.8,0.165
1,2021-10-22,H,IND,W,135,134,49,94,0.521,19,38,0.5,18,19,0.947,6,38,24,5,6,9,21,127.4,126.5,96.0,0.202,0.404,0.659,47.5,49.0,4.7,9.5,0.622,8.1,14.6,0.191,0.613,10.2,82.1,0.155
2,2021-10-25,A,BRK,L,90,104,33,95,0.347,9,39,0.231,15,20,0.75,10,53,16,5,5,12,17,87.8,101.4,102.5,0.211,0.411,0.434,49.5,48.5,4.9,8.5,0.395,10.4,17.5,0.158,0.479,8.1,86.0,0.149
3,2021-10-27,A,BOS,W,116,107,43,84,0.512,9,25,0.36,21,29,0.724,11,47,18,8,7,15,20,118.4,109.2,98.0,0.345,0.298,0.599,56.0,41.9,8.2,12.5,0.565,13.4,28.9,0.25,0.494,11.8,78.3,0.271
4,2021-10-28,H,ATL,W,122,111,46,99,0.465,13,34,0.382,17,21,0.81,14,51,26,6,4,6,16,122.9,111.9,99.2,0.212,0.343,0.564,54.3,56.5,6.0,6.0,0.53,5.3,27.5,0.172,0.58,12.1,86.0,0.102
5,2021-10-30,H,BOS,W,115,112,38,104,0.365,10,36,0.278,29,36,0.806,12,62,19,6,7,13,22,97.7,95.1,97.4,0.346,0.346,0.48,53.4,50.0,5.1,8.6,0.413,9.8,20.7,0.279,0.421,8.5,86.2,0.206
6,2021-11-01,A,ATL,L,111,118,41,86,0.477,13,39,0.333,16,16,1.0,7,36,27,7,4,12,24,118.8,126.3,93.4,0.186,0.453,0.597,43.4,65.9,7.5,8.2,0.552,11.4,17.1,0.186,0.536,10.3,69.0,0.349
7,2021-11-03,H,TOR,L,100,109,34,78,0.436,8,32,0.25,24,30,0.8,10,44,19,6,7,13,15,107.3,117.0,93.2,0.385,0.41,0.548,51.2,55.9,6.4,11.1,0.487,12.5,23.8,0.308,0.523,9.4,77.3,0.193
8,2021-11-05,H,MEM,W,115,87,49,84,0.583,10,25,0.4,7,13,0.538,5,53,34,4,6,18,13,115.1,87.1,99.9,0.155,0.298,0.641,57.6,69.4,4.0,9.2,0.643,16.7,15.6,0.083,0.385,8.0,80.0,0.135
9,2021-11-07,H,MIL,W,101,94,41,81,0.506,11,27,0.407,8,13,0.615,4,42,24,8,8,19,16,103.2,96.1,97.9,0.16,0.333,0.582,46.2,58.5,8.2,13.8,0.574,18.0,10.8,0.099,0.447,10.5,70.4,0.106
10,2021-11-10,A,CLE,W,97,94,35,84,0.417,10,28,0.357,17,17,1.0,12,49,25,9,2,12,20,106.9,103.6,90.7,0.202,0.333,0.53,55.1,71.4,9.9,4.4,0.476,11.6,26.1,0.202,0.52,14.1,86.0,0.197
11,2021-11-13,A,ORL,W,104,92,42,84,0.5,12,35,0.343,8,10,0.8,7,48,29,6,7,15,17,109.0,96.4,95.4,0.119,0.417,0.588,52.2,69.0,6.3,13.5,0.571,14.5,18.9,0.095,0.408,11.4,74.5,0.185
12,2021-11-15,H,NOP,W,105,100,39,84,0.464,10,28,0.357,17,25,0.68,6,42,23,9,4,5,22,113.9,108.5,92.2,0.298,0.333,0.553,48.3,59.0,9.8,7.5,0.524,5.0,13.6,0.202,0.48,11.9,83.7,0.392
13,2021-11-17,A,CHO,L,87,97,33,90,0.367,8,42,0.19,13,16,0.813,11,48,23,7,5,10,12,93.6,104.3,93.0,0.178,0.467,0.448,44.9,69.7,7.5,7.8,0.411,9.3,20.4,0.144,0.49,10.0,69.8,0.031
